timestamp,request_id,session_id,user_id,topic_allowed,pii_input_detected,pii_input_types,pii_input_count,pii_output_detected,pii_output_types,hallucination_flagged,hallucination_indicators,guardrails_triggered,input_tokens,output_tokens,cost_usd,language
2026-07-09T07:42:44.416925,89f67d927d0e,S001,U001,True,False,[],0,False,[],True,"[""i think""]","[""HALLUCINATION_FLAG""]",10,99,0.00624,en
2026-07-09T07:42:44.417068,90e40f283a86,S002,U002,True,True,"[""AADHAAR""]",1,False,[],False,[],"[""PII_INPUT:AADHAAR""]",10,64,0.00414,en
2026-07-09T07:42:44.417189,27d430c44e40,S003,U003,True,True,"[""PAN""]",1,False,[],False,[],"[""PII_INPUT:PAN""]",10,59,0.00384,en
2026-07-09T07:42:44.417298,91a6109bfe4d,S004,U004,False,False,[],0,False,[],False,[],"[""TOPIC_BOUNDARY_VIOLATION""]",9,55,0.00357,en
2026-07-09T07:42:44.417400,32fd69efe453,S005,U005,False,False,[],0,False,[],False,[],"[""TOPIC_BOUNDARY_VIOLATION""]",9,55,0.00357,en
2026-07-09T07:42:44.417509,6104eb88e39d,S006,U006,True,False,[],0,False,[],False,[],[],13,67,0.00441,en
2026-07-09T07:42:44.417612,ebb27e7493f5,S007,U007,True,True,"[""PAN"", ""GSTIN""]",2,False,[],True,"[""i don't have access""]","[""PII_INPUT:PAN,GSTIN"", ""HALLUCINATION_FLAG""]",15,81,0.00531,en
2026-07-09T07:42:44.417737,3865902b0da2,S008,U008,True,False,[],0,False,[],True,"[""i think""]","[""HALLUCINATION_FLAG""]",11,99,0.00627,en
2026-07-09T07:42:44.417839,72434f5c63fc,S009,U009,True,False,[],0,False,[],False,[],[],7,57,0.00363,en
2026-07-09T07:42:44.417941,1cc952f32508,S010,U010,True,False,[],0,False,[],False,[],[],10,64,0.00414,en
2026-07-09T07:42:44.418036,62f7dd44f256,S011,U011,True,False,[],0,False,[],True,"[""i don't have access""]","[""HALLUCINATION_FLAG""]",10,81,0.00516,en
2026-07-09T07:42:44.418139,392977d2da6d,S012,U012,True,True,"[""AADHAAR""]",1,False,[],False,[],"[""PII_INPUT:AADHAAR""]",11,64,0.00417,en
2026-07-09T07:42:44.418241,e9c23e2f245b,S013,U013,True,False,[],0,False,[],False,[],[],14,59,0.00396,en
2026-07-09T07:42:44.418335,5236064bf8fc,S014,U014,False,False,[],0,False,[],False,[],"[""TOPIC_BOUNDARY_VIOLATION""]",9,55,0.00357,en
2026-07-09T07:42:44.418434,1202fecd0616,S015,U015,True,False,[],0,False,[],False,[],[],12,57,0.00378,en
