timestamp,request_id,session_id,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd
2026-07-09T07:42:44.416879,89f67d927d0e,S001,10,99,0.0003,0.00594,0.00624
2026-07-09T07:42:44.417034,90e40f283a86,S002,10,64,0.0003,0.00384,0.00414
2026-07-09T07:42:44.417159,27d430c44e40,S003,10,59,0.0003,0.00354,0.00384
2026-07-09T07:42:44.417268,91a6109bfe4d,S004,9,55,0.00027,0.0033,0.00357
2026-07-09T07:42:44.417372,32fd69efe453,S005,9,55,0.00027,0.0033,0.00357
2026-07-09T07:42:44.417482,6104eb88e39d,S006,13,67,0.00039,0.00402,0.00441
2026-07-09T07:42:44.417586,ebb27e7493f5,S007,15,81,0.00045,0.00486,0.00531
2026-07-09T07:42:44.417707,3865902b0da2,S008,11,99,0.00033,0.00594,0.00627
2026-07-09T07:42:44.417813,72434f5c63fc,S009,7,57,0.00021,0.00342,0.00363
2026-07-09T07:42:44.417914,1cc952f32508,S010,10,64,0.0003,0.00384,0.00414
2026-07-09T07:42:44.418010,62f7dd44f256,S011,10,81,0.0003,0.00486,0.00516
2026-07-09T07:42:44.418113,392977d2da6d,S012,11,64,0.00033,0.00384,0.00417
2026-07-09T07:42:44.418216,e9c23e2f245b,S013,14,59,0.00042,0.00354,0.00396
2026-07-09T07:42:44.418310,5236064bf8fc,S014,9,55,0.00027,0.0033,0.00357
2026-07-09T07:42:44.418406,1202fecd0616,S015,12,57,0.00036,0.00342,0.00378
